x,y,V,t
1534.57,1453.42,331.414,4.49
1537.07,1455.59,331.022,4.5
1539.58,1457.76,330.63,4.51
1542.08,1459.92,330.239,4.52
1544.58,1462.08,329.849,4.53
1547.07,1464.24,329.459,4.54
1549.57,1466.39,329.071,4.55
1552.06,1468.54,328.683,4.56
1554.55,1470.69,328.296,4.57
1557.03,1472.83,327.909,4.58
1559.52,1474.97,327.524,4.59
1562,1477.11,327.139,4.6
1564.48,1479.25,326.755,4.61
1566.95,1481.38,326.372,4.62
1569.43,1483.51,325.989,4.63
1571.9,1485.63,325.608,4.64
1574.37,1487.75,325.227,4.65
1576.83,1489.87,324.847,4.66
1579.3,1491.99,324.467,4.67
1581.76,1494.1,324.089,4.68
1584.22,1496.21,323.711,4.69
1586.68,1498.32,323.334,4.7
1589.13,1500.43,322.957,4.71
1591.58,1502.53,322.583,4.72
1594.03,1504.63,322.21,4.73
1596.48,1506.72,321.837,4.74
1598.93,1508.81,321.465,4.75
1601.37,1510.9,321.094,4.76
1603.81,1512.99,320.723,4.77
1606.25,1515.07,320.354,4.78
1608.69,1517.15,319.985,4.79
1611.12,1519.23,319.616,4.8
1613.55,1521.31,319.249,4.81
1615.98,1523.38,318.882,4.82
1618.41,1525.45,318.516,4.83
1620.83,1527.51,318.15,4.84
1623.25,1529.57,317.786,4.85
1625.67,1531.63,317.422,4.86
1628.09,1533.69,317.058,4.87
1630.51,1535.74,316.696,4.88
1632.92,1537.8,316.334,4.89
1635.33,1539.84,315.973,4.9
1637.74,1541.89,315.612,4.91
1640.14,1543.93,315.252,4.92
1642.55,1545.97,314.893,4.93
1644.95,1548.01,314.535,4.94
1647.35,1550.04,314.177,4.95
1649.75,1552.07,313.822,4.96
1652.14,1554.1,313.467,4.97
1654.53,1556.13,313.112,4.98
1656.93,1558.15,312.759,4.99
1659.31,1560.17,312.406,5
1661.7,1562.18,312.054,5.01
1664.08,1564.2,311.702,5.02
1666.47,1566.21,311.351,5.03
1668.84,1568.22,311.001,5.04
1671.22,1570.22,310.652,5.05
1673.6,1572.22,310.303,5.06
1675.97,1574.22,309.954,5.07
1678.34,1576.22,309.607,5.08
1680.71,1578.21,309.26,5.09
1683.08,1580.2,308.914,5.1
1685.44,1582.19,308.568,5.11
1687.8,1584.18,308.223,5.12
1690.16,1586.16,307.879,5.13
1692.52,1588.14,307.535,5.14
1694.88,1590.12,307.192,5.15
1697.23,1592.09,306.85,5.16
1699.58,1594.06,306.508,5.17
1701.93,1596.03,306.167,5.18
1704.28,1598,305.826,5.19
1706.62,1599.96,305.487,5.2
1708.96,1601.92,305.147,5.21
1711.3,1603.88,304.81,5.22
1713.64,1605.83,304.474,5.23
1715.98,1607.79,304.138,5.24
1718.31,1609.74,303.802,5.25
1720.65,1611.68,303.468,5.26
1722.98,1613.63,303.134,5.27
1725.3,1615.57,302.8,5.28
1727.63,1617.51,302.467,5.29
1729.95,1619.44,302.135,5.3
1732.28,1621.38,301.803,5.31
1734.6,1623.31,301.472,5.32
1736.91,1625.24,301.142,5.33
1739.23,1627.16,300.812,5.34
1741.54,1629.08,300.483,5.35
1743.86,1631,300.154,5.36
1746.16,1632.92,299.826,5.37
1748.47,1634.83,299.499,5.38
1750.78,1636.75,299.172,5.39
1753.08,1638.65,298.846,5.4
1755.38,1640.56,298.52,5.41
1757.68,1642.47,298.195,5.42
1759.98,1644.37,297.871,5.43
1762.27,1646.26,297.547,5.44
1764.57,1648.16,297.224,5.45
1766.86,1650.05,296.901,5.46
1769.15,1651.94,296.58,5.47
1771.44,1653.83,296.26,5.48
1773.72,1655.72,295.94,5.49
1776,1657.6,295.621,5.5
1778.29,1659.48,295.303,5.51
1780.57,1661.36,294.985,5.52
1782.84,1663.23,294.667,5.53
1785.12,1665.1,294.351,5.54
1787.39,1666.97,294.034,5.55
1789.66,1668.84,293.719,5.56
1791.93,1670.71,293.404,5.57
1794.2,1672.57,293.089,5.58
1796.47,1674.43,292.775,5.59
1798.73,1676.28,292.462,5.6
1800.99,1678.14,292.149,5.61
1803.25,1679.99,291.836,5.62
1805.51,1681.84,291.525,5.63
1807.76,1683.69,291.214,5.64
1810.02,1685.53,290.903,5.65
1812.27,1687.37,290.593,5.66
1814.52,1689.21,290.283,5.67
